species,lambda_mean,lambda_0.05,lambda_0.95,lambda_category,z_score,occ_est,occ_CI_0.05,occ_CI_0.95,wc_response,outcome,col_est,col_CI_0.05,col_CI_0.95,ext_est,ext_CI_0.05,ext_CI_0.95
779,0.9299572284682286,0.8746177166646619,0.9852967402717953,decreasing,6.75370332892796,1.5142640045791733,0.9750551012782973,2.0534729078800495,positive,indifferent,-0.2780073143296973,-0.7923680219735381,0.2363533933141435,2.8136373589561776,2.3670012931449937,3.2602734247673615
780,0.9836707970122053,0.9777480762324134,0.9895935177919971,decreasing,-1.4956202693637,-0.14178839820232952,-0.5432347383849342,0.25965794198027514,neutral,indifferent,-1.4384321735305763,-1.645127173655204,-1.2317371734059486,-0.15712317126043301,-0.36539415171451095,0.05114780919364492
783,0.9820107713435213,0.9792427446219215,0.9847787980651211,decreasing,8.391193115532339,0.11899850755244042,-0.552005334126477,0.7900023492313579,neutral,indifferent,-11.160633874018208,-511.3020220662342,488.98075431819774,2.76036376245319,1.3092705967771248,4.211456928129255
784,0.9688305349249423,0.9581131279677843,0.9795479418821004,decreasing,-12.343840568117743,-0.41943605521288946,-0.6959011778602928,-0.1429709325654861,negative,loser,0.16763054624560023,0.06092597555316681,0.27433511693803364,0.029389586288033124,-0.0656497820172309,0.12442895459329714
786,0.9938964070600735,0.9923816082080059,0.9954112059121412,decreasing,-7.701725216150204,-0.5728362416181629,-1.0861656187523008,-0.05950686448402509,neutral,indifferent,-0.34864484117406136,-0.5307883932127293,-0.1665012891353934,0.5737700134727117,0.43240568033859716,0.7151343466068263
788,0.9691966164012983,0.9601240524879278,0.9782691803146688,decreasing,5.7892661167506185,0.326394818431822,-0.198276446056945,0.8510660829205889,neutral,indifferent,0.7738649101223494,0.5680363152692791,0.9796935049754196,0.5409751231241974,0.31228001122439436,0.7696702350240003
789,0.983304800298869,0.9776162992020161,0.988993301395722,decreasing,3.2250895045443078,0.03417991078917358,-0.42045715776287484,0.48881697934122204,neutral,indifferent,-1.5183032201547044,-1.8283876074552818,-1.208218832854127,0.6886116478372092,0.33185280210856327,1.045370493565855
790,0.9904425526419488,0.9743430824261615,1.006542022857736,stable,-1.5324743504204679,3.175952536918487,2.468814107579929,3.883090966257045,positive,indifferent,2.9154738238865936,2.368837109551783,3.4621105382214044,0.75408289033403475,0.021884595309790034,1.4862811853582794
791,0.9783469569793681,0.9729444639051015,0.9837494500536348,decreasing,-1.4342270927346965,-1.143079013414415,-1.6596652813767767,-0.6264927454520535,negative,loser,1.5813570437125617,1.362767998618853,1.7999460888062704,-0.2800538265055561,-0.50000558614178,-0.060102066869332144
792,0.9726160472836014,0.9420138897934043,1.0032182047737985,stable,-3.82579647986256,-2.2599182226575287,-2.8077239701919154,-1.712112475123142,negative,indifferent,0.15393239597901293,-0.12316506849070669,0.43102986044873254,-2.9151233421202054,-4.249764587968367,-1.5804820962720436
793,0.947612875142439,0.8962767770161613,0.9989489732687167,decreasing,4.4240070456088025,-0.7505365078593926,-1.096886746442327,-0.4041862692764582,negative,loser,-0.03465096350146015,-0.646805499825463,0.5775035728225427,-4.3583289483274275,-5.1495082819649705,-3.567149614689884
797,0.9505424827633918,0.93057748494915,0.9705074805776336,decreasing,-3.1466027554388676,-0.5480902110392124,-1.193546113093869,0.09736569101544412,neutral,indifferent,0.8688834067582212,0.7335149993524752,1.0042518141639671,-0.2832300004948852,-0.40229461005648115,-0.1641653909332893
799,0.9788070878112465,0.9668111902962957,0.9908029853261973,decreasing,-6.689151273463541,0.7055463426115962,0.4421524585521334,0.968940226671059,positive,indifferent,0.07791610183661939,-0.08356351514084788,0.23939571881408667,-1.0915441961055623,-1.5019212302386327,-0.6811671619724919
803,1.012029421958172,1.007449726721573,1.016609117194771,increasing,-8.373656527921968,0.057921097066429894,-0.2536884639750272,0.369530658107887,neutral,indifferent,-0.4548128170163222,-0.5550200916123765,-0.3546055424202678,-0.7775940535117126,-1.0499549985098513,-0.505233108513574
804,1.0107473896070516,1.0043554360600604,1.0171393431540428,increasing,2.0876531893362817,0.3488636380732343,0.026733589385770917,0.6709936867606976,neutral,indifferent,0.9074066235589294,0.7775650678383601,1.0372481792794987,0.3038041867435285,0.13924344801162195,0.46836492547543507
805,1.0033241218966538,0.9925149962819081,1.0141332475113995,stable,-7.007581222426669,-0.6393948155414722,-0.9176527901432232,-0.36113684093972115,negative,indifferent,-0.7428154026375645,-0.8879068318921182,-0.5977239733830109,-1.5844489882886634,-1.8310979838821548,-1.337799992695172
808,0.9890271519067806,0.9867243875962364,0.9913299162173248,decreasing,-15.000472927272678,-0.4277300595150325,-0.7338629877167187,-0.12159713131334637,negative,loser,0.5631138506762785,0.47116810384138563,0.6550595975111714,0.6799754520138499,0.5890256878958545,0.7709252161318453
810,0.9879821044017022,0.9833415511977485,0.9926226576056559,decreasing,1.1113541616731584,0.4935952001971086,0.06932409904639592,0.9178663013478213,neutral,indifferent,0.6873673568522093,0.5060612770449066,0.868673436659512,-0.10904986151385486,-0.5185085031326377,0.300408780104928
812,0.9408083705315573,0.9275810659416758,0.9540356751214388,decreasing,-14.145401286289882,-0.34017290440222736,-0.7324052717070855,0.05205946290263075,neutral,indifferent,0.17402280575997886,0.021194903674793625,0.3268507078451641,1.235939570550307,1.008939890676724,1.4629392504238898
813,0.9678132258526898,0.9559300831517962,0.9796963685535834,decreasing,-6.479307631408362,-0.23146022743062758,-0.4952924966054125,0.03237204174415739,neutral,indifferent,0.6721968550409236,0.5658722702332313,0.778521439848616,-0.1821987111759903,-0.29270556304334233,-0.07169185930863824
814,0.9213322165286117,0.8927814093578922,0.9498830236993313,decreasing,-10.449256435208309,1.6475012231366533,0.6883408343017263,2.60666161197158,positive,indifferent,0.491044517053798,0.38610942969518347,0.5959796044124125,0.74326160423108,0.6488581343513061,0.8376650741108539
816,0.9663473032304113,0.954294011983843,0.9784005944769796,decreasing,-3.7335508625249916,-1.3474369458223265,-1.7196196453057184,-0.9752542463389346,negative,loser,1.133790644464343,0.9976857690458233,1.2698955198828628,0.17264373504865602,0.05079911359084176,0.29448835650647026
818,0.9728559123391891,0.9661646264407422,0.979547198237636,decreasing,-16.174566833462574,-0.6349782384134199,-1.1880120027689074,-0.08194447405793237,neutral,indifferent,0.3170048864863512,0.20071267497139583,0.4332970980013066,0.9732668733455971,0.8383472303248005,1.1081865163663938
